Game over - Header 1,"أحسنت!"
Game over - Header 2,"شكًرا لمساعدتكم في إنقاذ البحر!"
Game over - Header,"انتهت اللعبة"
Game over - Score - Highest,"{Minigame - Score Token (Highest)} :اعلى نتيجة"
Game over - Score,"{Minigame - Score Token} :النتيجة الحالية"
Pause menu - Status name,"توقف"
Skip,"تخطى"
Slide 1,"أعد تدوير العنصر الصحيح في السلة الصحيحة من خلال سحب ذراع الأخطبوط"
Slide 2,"مكان البلاستيك في السلة الحمراء والورق في السلة الصفراء والمواد العضوية في السلة الخضراء والزجاج في السلة الزرقاء."
Minigame - Score counter (Basic),"{Minigame - Score Token}"
